size,method,run,time_seconds,gflops
10,gpu,0,0.06465622084215283,3.0932831736062335e-05
10,gpu,1,0.00013842573389410973,0.01444818057840258
10,gpu,2,0.00013670455664396285,0.01463009024058251
10,gpu,3,0.00013345815241336823,0.014985970986660116
10,gpu,4,0.00013557234779000283,0.014752270891538554
10,gpu,5,0.00013565262779593467,0.014743540412712428
10,gpu,6,0.0001311599276959896,0.015248559793626302
10,gpu,7,0.00013396916911005973,0.014928807973399755
10,gpu,8,0.00013193953782320023,0.015158458434802251
10,gpu,9,0.00013062106445431708,0.0153114660974109
50,gpu,0,0.00017192903906106948,1.454088275984603
50,gpu,1,0.00014314278960227966,1.746507810100821
50,gpu,2,0.0001407924108207226,1.7756638908494609
50,gpu,3,0.00013942178338766098,1.7931200844338457
50,gpu,4,0.00013902103528380395,1.7982890106496365
50,gpu,5,0.0001400087960064411,1.785602098803126
50,gpu,6,0.0001411469653248787,1.7712035071003738
50,gpu,7,0.0001378646120429039,1.8133732528997304
50,gpu,8,0.00014480780810117723,1.7264262423289012
50,gpu,9,0.00014143940061330795,1.767541427041919
100,gpu,0,0.0001660180278122425,12.046884464028766
100,gpu,1,0.00015101563185453414,13.243662099341481
100,gpu,2,0.00016000065952539443,12.499948474790948
100,gpu,3,0.00015301937237381934,13.070240512515573
100,gpu,4,0.0001508931629359722,13.254411008990848
100,gpu,5,0.00015150858089327813,13.200572457402858
100,gpu,6,0.00014830660074949265,13.485576433501002
100,gpu,7,0.0001488756388425827,13.43403135361017
100,gpu,8,0.00014875531196594237,13.444898024602317
100,gpu,9,0.0001497812569141388,13.352805559286287
250,gpu,0,0.0019759848713874818,15.814898409650839
250,gpu,1,0.0002091776579618454,149.3945400502576
250,gpu,2,0.0002061820589005947,151.56507877858746
250,gpu,3,0.00020577693358063697,151.8634739872542
250,gpu,4,0.00020225662738084793,154.50667997719773
250,gpu,5,0.00020479932427406312,152.58839408171656
250,gpu,6,0.00020465105772018432,152.6989420339452
250,gpu,7,0.00020192181691527366,154.76287048819736
250,gpu,8,0.00023496048524975776,133.00108725423317
250,gpu,9,0.00019361022859811782,161.40676154495173
500,gpu,0,0.0007965863682329654,313.8391641757122
500,gpu,1,0.0003846676088869572,649.9117529634991
500,gpu,2,0.0003760212101042271,664.8561125865853
500,gpu,3,0.0003712319768965244,673.433366624244
500,gpu,4,0.00037566842511296274,665.4804697116227
500,gpu,5,0.000377546064555645,662.1708540234393
500,gpu,6,0.00037342822179198265,669.472700269724
500,gpu,7,0.0003768386319279671,663.4139358827405
500,gpu,8,0.00037822723388671877,660.9783156833081
500,gpu,9,0.0003750652074813843,666.550762409516
1000,gpu,0,0.002813234180212021,710.925529793353
1000,gpu,1,0.0015692396089434623,1274.5026244567966
1000,gpu,2,0.0015667487867176532,1276.5288328003178
1000,gpu,3,0.0015786352567374706,1266.9170990982136
1000,gpu,4,0.0015821579843759536,1264.096265828254
1000,gpu,5,0.001812587771564722,1103.3948432044722
1000,gpu,6,0.0015785891562700271,1266.9540976232881
1000,gpu,7,0.001568065397441387,1275.4570078922732
1000,gpu,8,0.0015723875723779202,1271.9510349318025
1000,gpu,9,0.0015834866091609002,1263.0356255805743
2500,gpu,0,0.019088707212358714,1637.0935785409097
2500,gpu,1,0.009992863610386848,3127.231714392451
2500,gpu,2,0.009433301631361246,3312.731980933229
2500,gpu,3,0.009989996440708637,3128.1292426349746
2500,gpu,4,0.009402814041823148,3323.473149740268
2500,gpu,5,0.009950561728328467,3140.526218839858
2500,gpu,6,0.009371697157621383,3334.508091161101
2500,gpu,7,0.009915102552622557,3151.757617649082
2500,gpu,8,0.00940875094383955,3321.376045187079
2500,gpu,9,0.009969054628163576,3134.70044709311
5000,gpu,0,0.07466795006766916,3348.1567362360033
5000,gpu,1,0.05047599822282791,4952.849053056207
5000,gpu,2,0.05031443266198039,4968.753233878955
5000,gpu,3,0.05035701496526599,4964.5516155482765
5000,gpu,4,0.05034795179963112,4965.445287524718
5000,gpu,5,0.05032876143231988,4967.33861285639
5000,gpu,6,0.0502484898082912,4975.273902833773
5000,gpu,7,0.05028981799259782,4971.1852215650815
5000,gpu,8,0.05029243277385831,4970.92676196703
5000,gpu,9,0.05024699280038476,4975.4221310948915
7500,gpu,0,0.23628030298277736,3570.9705352015803
7500,gpu,1,0.12714163605123757,6636.2996906849
7500,gpu,2,0.12696645865216852,6645.455886199826
7500,gpu,3,0.1273334003984928,6626.305410516526
7500,gpu,4,0.12692897533997893,6647.418351404932
7500,gpu,5,0.12736929599195718,6624.437965436185
7500,gpu,6,0.1269465302117169,6646.499109450442
7500,gpu,7,0.1273259736597538,6626.691913267491
7500,gpu,8,0.12666326211765408,6661.363254771249
7500,gpu,9,0.12721016444265842,6632.724701651737
10000,gpu,0,0.33536147577688097,5963.714214242717
10000,gpu,1,0.24945928994566202,8017.340225876719
10000,gpu,2,0.24911523461341858,8028.413047895828
10000,gpu,3,0.24988041520118714,8003.828544905101
10000,gpu,4,0.24907262902706861,8029.786363168169
10000,gpu,5,0.24924216698855162,8024.324391674325
10000,gpu,6,0.24983564279973508,8005.262890384193
10000,gpu,7,0.24884533761069177,8037.120643702463
10000,gpu,8,0.24882137160748244,8037.894763939389
10000,gpu,9,0.24951374055817724,8015.590626495678
