,size,method,run,time_seconds,gflops,cpus
0,10,numpy,0,8.716247975826263e-06,0.2294565282615664,16
1,10,numpy,1,8.205417543649673e-06,0.2437414049145905,16
2,10,numpy,2,2.8012320399284364e-06,0.7139715566194561,16
3,10,numpy,3,2.588983625173569e-06,0.7725039202849023,16
4,10,numpy,4,2.672988921403885e-06,0.7482260715654507,16
5,10,numpy,5,2.6627443730831145e-06,0.7511047700325277,16
6,10,numpy,6,2.5607645511627196e-06,0.7810167471632238,16
7,10,numpy,7,2.5146640837192535e-06,0.7953348572275101,16
8,10,numpy,8,2.538878470659256e-06,0.7877494031766993,16
9,10,numpy,9,2.660974860191345e-06,0.7516042447151057,16
10,50,numpy,0,1.1689960956573486e-05,21.3858712555768,16
11,50,numpy,1,1.2956187129020691e-05,19.2958003392852,16
12,50,numpy,2,1.1583603918552398e-05,21.582229654762095,16
13,50,numpy,3,1.0876357555389404e-05,22.985636388546375,16
14,50,numpy,4,1.0732188820838929e-05,23.294409385955777,16
15,50,numpy,5,1.080622896552086e-05,23.134805009006215,16
16,50,numpy,6,1.0714214295148849e-05,23.333488869379277,16
17,50,numpy,7,1.0748207569122314e-05,23.259692222376263,16
18,50,numpy,8,1.0626018047332764e-05,23.527157481419156,16
19,50,numpy,9,1.0666158050298691e-05,23.43861761855283,16
20,100,numpy,0,6.174584850668908e-05,32.39084162530109,16
21,100,numpy,1,5.565444007515907e-05,35.936036680974254,16
22,100,numpy,2,5.189543589949608e-05,38.539034605534944,16
23,100,numpy,3,5.2294041961431506e-05,38.24527470022422,16
24,100,numpy,4,5.312133580446243e-05,37.64965563670918,16
25,100,numpy,5,5.459841340780258e-05,36.631101073610736,16
26,100,numpy,6,5.4480135440826415e-05,36.710628265091216,16
27,100,numpy,7,5.666427314281464e-05,35.29560848613147,16
28,100,numpy,8,5.429787561297417e-05,36.83385357938592,16
29,100,numpy,9,5.873600021004677e-05,34.05066727131176,16
30,250,numpy,0,0.0002887514419853,108.22456776365972,16
31,250,numpy,1,0.0001991633325815,156.9063923310732,16
32,250,numpy,2,0.0001991434022784,156.9220955475554,16
33,250,numpy,3,0.0001896915957331,164.74108870884595,16
34,250,numpy,4,0.0001976463943719,158.11065058533265,16
35,250,numpy,5,0.0001991413533687,156.92371007508896,16
36,250,numpy,6,0.0001851490698754,168.7829164954329,16
37,250,numpy,7,0.0001985382288694,157.4004169270115,16
38,250,numpy,8,0.0002014116384088,155.15488701083535,16
39,250,numpy,9,0.000185533799231,168.43292235439628,16
40,500,numpy,0,0.0010074405930936,248.15359011125776,16
41,500,numpy,1,0.0008492459543049,294.3787941911514,16
42,500,numpy,2,0.0007767739705741,321.84394620640586,16
43,500,numpy,3,0.0007553139701485,330.9881848879709,16
44,500,numpy,4,0.0007825030013918,319.4875924505199,16
45,500,numpy,5,0.0007495951838791,333.51334877347534,16
46,500,numpy,6,0.0007754018530249,322.413467319832,16
47,500,numpy,7,0.0007514887489378,332.6729779432496,16
48,500,numpy,8,0.0007811523973941,320.0399830224761,16
49,500,numpy,9,0.0007474372163414,334.47625370286335,16
50,1000,numpy,0,0.0051827119663357,385.8983507073072,16
51,1000,numpy,1,0.0046275412663817,432.1949572939829,16
52,1000,numpy,2,0.0043835858814418,456.24747731466096,16
53,1000,numpy,3,0.00455271480605,439.2983275258573,16
54,1000,numpy,4,0.0043641673400998,458.2775691534914,16
55,1000,numpy,5,0.0046464486047625,430.4362686698017,16
56,1000,numpy,6,0.0043600977398455,458.70531335172853,16
57,1000,numpy,7,0.0045421028509736,440.3246834384865,16
58,1000,numpy,8,0.0043235632590949,462.581412632935,16
59,1000,numpy,9,0.00452845338732,441.6518905991453,16
60,2500,numpy,0,0.0499594793654978,625.5069187446607,16
61,2500,numpy,1,0.0466461018659174,669.938081639212,16
62,2500,numpy,2,0.0494010783731937,632.5772843241623,16
63,2500,numpy,3,0.0463191569782793,674.6668557602246,16
64,2500,numpy,4,0.042772748414427,730.6053774524231,16
65,2500,numpy,5,0.0386589503847062,808.3509688965252,16
66,2500,numpy,6,0.0316882005892694,986.1714902985756,16
67,2500,numpy,7,0.0279682268388569,1117.3393358131527,16
68,2500,numpy,8,0.027542196214199,1134.6226625126365,16
69,2500,numpy,9,0.0279848901554942,1116.6740275328457,16
70,5000,numpy,0,0.1948800028301775,1282.8407038656253,16
71,5000,numpy,1,0.2063524187542498,1211.5196008326473,16
72,5000,numpy,2,0.2081614630296826,1200.9907903287144,16
73,5000,numpy,3,0.2054699686355889,1216.7228216371966,16
74,5000,numpy,4,0.2096818094141781,1192.2827292384843,16
75,5000,numpy,5,0.2104436168447137,1187.9666570475024,16
76,5000,numpy,6,0.2097342619672417,1191.9845506169484,16
77,5000,numpy,7,0.2092418078333139,1194.789906418486,16
78,5000,numpy,8,0.2096836591139435,1192.2722116564564,16
79,5000,numpy,9,0.2116637804545462,1181.1184675201732,16
80,7500,numpy,0,0.7458100602030754,1131.3202181400673,16
81,7500,numpy,1,0.7482441428117454,1127.6399663208367,16
82,7500,numpy,2,0.7474760247394443,1128.7987468148092,16
83,7500,numpy,3,0.7423524599522352,1136.5894848038747,16
84,7500,numpy,4,0.7502208458259702,1124.6688287780876,16
85,7500,numpy,5,0.7495337238535285,1125.6998493170977,16
86,7500,numpy,6,0.7501490452326834,1124.7764765711102,16
87,7500,numpy,7,0.7495335654355586,1125.7000872398446,16
88,7500,numpy,8,0.7403390287421644,1139.68056153075,16
89,7500,numpy,9,0.7424238411709666,1136.4802060629136,16
90,10000,numpy,0,1.585609452612698,1261.3446499732247,16
91,10000,numpy,1,1.5925293903797866,1255.863792581586,16
92,10000,numpy,2,1.5899269013665616,1257.919466788678,16
93,10000,numpy,3,1.596501464676112,1252.739220258559,16
94,10000,numpy,4,1.5982766666449606,1251.3478058828955,16
95,10000,numpy,5,1.595088990777731,1253.8485385852002,16
96,10000,numpy,6,1.5957028351724147,1253.3662007211394,16
