size,method,run,time_seconds,gflops
10,numpy,0,8.716247975826263e-06,0.2294565282615664
10,numpy,1,8.205417543649673e-06,0.24374140491459054
10,numpy,2,2.8012320399284364e-06,0.7139715566194561
10,numpy,3,2.588983625173569e-06,0.7725039202849023
10,numpy,4,2.672988921403885e-06,0.7482260715654507
10,numpy,5,2.6627443730831145e-06,0.7511047700325277
10,numpy,6,2.5607645511627196e-06,0.7810167471632238
10,numpy,7,2.5146640837192535e-06,0.7953348572275101
10,numpy,8,2.538878470659256e-06,0.7877494031766993
10,numpy,9,2.660974860191345e-06,0.7516042447151057
50,numpy,0,1.1689960956573486e-05,21.385871255576802
50,numpy,1,1.2956187129020691e-05,19.2958003392852
50,numpy,2,1.1583603918552398e-05,21.582229654762095
50,numpy,3,1.0876357555389404e-05,22.985636388546375
50,numpy,4,1.0732188820838929e-05,23.294409385955777
50,numpy,5,1.0806228965520859e-05,23.134805009006215
50,numpy,6,1.0714214295148849e-05,23.333488869379277
50,numpy,7,1.0748207569122314e-05,23.259692222376266
50,numpy,8,1.0626018047332764e-05,23.527157481419156
50,numpy,9,1.0666158050298691e-05,23.43861761855283
100,numpy,0,6.174584850668908e-05,32.39084162530109
100,numpy,1,5.565444007515907e-05,35.936036680974254
100,numpy,2,5.189543589949608e-05,38.539034605534944
100,numpy,3,5.2294041961431506e-05,38.24527470022422
100,numpy,4,5.312133580446243e-05,37.64965563670918
100,numpy,5,5.459841340780258e-05,36.631101073610736
100,numpy,6,5.4480135440826415e-05,36.710628265091216
100,numpy,7,5.666427314281464e-05,35.29560848613147
100,numpy,8,5.429787561297417e-05,36.833853579385924
100,numpy,9,5.873600021004677e-05,34.05066727131176
250,numpy,0,0.00028875144198536873,108.22456776365973
250,numpy,1,0.00019916333258152008,156.9063923310732
250,numpy,2,0.00019914340227842331,156.9220955475554
250,numpy,3,0.00018969159573316573,164.74108870884595
250,numpy,4,0.0001976463943719864,158.11065058533265
250,numpy,5,0.00019914135336875915,156.92371007508896
250,numpy,6,0.00018514906987547873,168.7829164954329
250,numpy,7,0.00019853822886943816,157.4004169270115
250,numpy,8,0.0002014116384088993,155.15488701083535
250,numpy,9,0.0001855337992310524,168.43292235439628
500,numpy,0,0.0010074405930936337,248.15359011125776
500,numpy,1,0.0008492459543049336,294.3787941911514
500,numpy,2,0.0007767739705741405,321.84394620640586
500,numpy,3,0.0007553139701485633,330.9881848879709
500,numpy,4,0.0007825030013918876,319.4875924505199
500,numpy,5,0.000749595183879137,333.51334877347534
500,numpy,6,0.0007754018530249596,322.413467319832
500,numpy,7,0.0007514887489378453,332.6729779432496
500,numpy,8,0.0007811523973941803,320.0399830224761
500,numpy,9,0.0007474372163414955,334.47625370286335
1000,numpy,0,0.005182711966335773,385.8983507073072
1000,numpy,1,0.00462754126638174,432.1949572939829
1000,numpy,2,0.004383585881441832,456.24747731466096
1000,numpy,3,0.004552714806050062,439.2983275258573
1000,numpy,4,0.0043641673400998116,458.2775691534914
1000,numpy,5,0.004646448604762554,430.4362686698017
1000,numpy,6,0.004360097739845514,458.70531335172853
1000,numpy,7,0.004542102850973606,440.3246834384865
1000,numpy,8,0.004323563259094954,462.581412632935
1000,numpy,9,0.0045284533873200415,441.6518905991453
2500,numpy,0,0.04995947936549783,625.5069187446607
2500,numpy,1,0.046646101865917444,669.938081639212
2500,numpy,2,0.04940107837319374,632.5772843241623
2500,numpy,3,0.046319156978279354,674.6668557602246
2500,numpy,4,0.04277274841442704,730.6053774524231
2500,numpy,5,0.03865895038470626,808.3509688965252
2500,numpy,6,0.0316882005892694,986.1714902985756
2500,numpy,7,0.027968226838856934,1117.3393358131527
2500,numpy,8,0.027542196214199066,1134.6226625126365
2500,numpy,9,0.027984890155494213,1116.6740275328455
5000,numpy,0,0.19488000283017753,1282.8407038656253
5000,numpy,1,0.2063524187542498,1211.5196008326473
5000,numpy,2,0.20816146302968264,1200.9907903287144
5000,numpy,3,0.2054699686355889,1216.7228216371966
5000,numpy,4,0.20968180941417813,1192.2827292384843
5000,numpy,5,0.2104436168447137,1187.9666570475024
5000,numpy,6,0.20973426196724176,1191.9845506169484
5000,numpy,7,0.20924180783331395,1194.789906418486
5000,numpy,8,0.20968365911394357,1192.2722116564564
5000,numpy,9,0.2116637804545462,1181.1184675201732
7500,numpy,0,0.7458100602030754,1131.3202181400673
7500,numpy,1,0.7482441428117454,1127.6399663208367
7500,numpy,2,0.7474760247394443,1128.7987468148092
7500,numpy,3,0.7423524599522352,1136.5894848038747
7500,numpy,4,0.7502208458259702,1124.6688287780876
7500,numpy,5,0.7495337238535285,1125.6998493170975
7500,numpy,6,0.7501490452326834,1124.7764765711102
7500,numpy,7,0.7495335654355586,1125.7000872398446
7500,numpy,8,0.7403390287421644,1139.68056153075
7500,numpy,9,0.7424238411709666,1136.4802060629136
10000,numpy,0,1.585609452612698,1261.3446499732247
10000,numpy,1,1.5925293903797866,1255.863792581586
10000,numpy,2,1.5899269013665616,1257.919466788678
10000,numpy,3,1.596501464676112,1252.739220258559
10000,numpy,4,1.5982766666449606,1251.3478058828957
10000,numpy,5,1.595088990777731,1253.8485385852002
10000,numpy,6,1.5957028351724147,1253.3662007211394
10000,numpy,7,1.596831851825118,1252.4800264436585
10000,numpy,8,1.5957557017914952,1253.3246773015912
10000,numpy,9,1.5950881344266237,1253.8492117358314
